ID,Наименование,Дата размещения КР,МКБ-10
256_2,Полиартроз (генерализованный остеоартрит),12/11/2025,"M15.0, M15.1, M15.2, M15.4, M15.8"
980_1,Переломы проксимального отдела бедренной кости,12/10/2025,"S72.0, S72.1, S72.2, T93.1"
747_2,Лекарственные поражения печени (ЛПП),12/9/2025,K71
979_1,Бешенство (гидрофобия) у взрослых,12/9/2025,A82
978_1,"Инфекция, специфичная для перинатального периода",12/8/2025,"P37.9, P39.8, P39.9"
57_3,Острый гепатит С (ОГС) у детей,12/8/2025,B17.1
977_1,Носовое кровотечение,12/8/2025,R04.0
372_3,Кистозный фиброз (муковисцидоз),12/5/2025,E84
976_1,"Гидроцеле, сперматоцеле",12/2/2025,"N43.0, N43.1, N43.2, N43.3, N43.4, P83.5"
466_3,Гемолитико-уремический синдром,12/2/2025,"D59.3, N08.2"
975_1,Себорейный кератоз,12/2/2025,L82
973_1,Суправентрикулярные (наджелудочковые) тахикардии,12/1/2025,"I45.6, I47.1, I47.9, I48"
974_1,Гипертрофические изменения кожи,12/1/2025,L91
972_1,Эпителиальный копчиковый ход,11/28/2025,"L05, L72.0"
484_2,Системная красная волчанка,11/27/2025,M32
971_1,Переломы и ложные суставы костей запястья,11/26/2025,"S62, S63.0, S63.1, T92.2"
970_1,Переломы надколенника,11/25/2025,S82.0
97_2,Регматогенная отслойка сетчатки,11/24/2025,H33.0
969_1,Осложненная катаракта,11/24/2025,"H26.0, H26.1, H26.2, H26.3, H26.8, H26.9, H27.0, H27.1, H27.8, H28.0, T85.2"
722_2,"Недостаточный рост плода, требующий предоставления медицинской помощи матери (задержка роста плода)",11/21/2025,"O36.5, O43, P05, P07"
968_1,Лимфедема конечностей,11/20/2025,"I89, I97.2, Q82.0"
967_1,Кровоизлияние в стекловидное тело,11/19/2025,H43.1
966_1,Переломы пяточной кости,11/19/2025,S92.0
212_2,Дерматит герпетиформный,11/18/2025,L13.0
571_2,Артериальная гипертензия у детей,11/18/2025,"I10, I11, I12, I13, I15, P29.2"
483_3,Нарушение обмена серосодержащих аминокислот (гомоцистинурия),11/14/2025,E72.1
726_2,Нервно-мышечный сколиоз,11/14/2025,M41.4
965_1,Лихорадка Западного Нила,11/13/2025,A92.3
733_2,Открытые раны головы,11/13/2025,"S00.0, S00.7, S00.8, S00.9, S01.0, S01.7"
964_1,Лепра [болезнь Гансена],11/12/2025,"A30, B92"
962_1,Срыгивание и руминация новорожденного,11/12/2025,P92.1
963_1,Гидраденит гнойный,11/11/2025,L73.2
960_1,Тромбоз глубоких вен конечностей,11/10/2025,"I80.1, I80.2, I80.3, I80.8, I80.9, I82.2, I82.8, I82.9"
961_1,Гипертрофическая кардиомиопатия у детей,11/10/2025,"I42.1, I42.2"
188_3,Ректоцеле,11/1/2025,N81.6
539_2,Анемии при злокачественных новообразованиях,11/1/2025,D63.0
959_1,Неонатальный холестаз,10/31/2025,"P58.2, P58.4, P59.1, P59.2"
488_3,Острый гепатит В (ОГВ) у детей,10/30/2025,B16
494_3,"Брюшной тиф (инфекция, вызванная Salmonella Typhi) у взрослых",10/30/2025,A01.0
717_2,ВИЧ-инфекция у беременных,10/29/2025,"B20, B21, B22, B23, B24, F02.4, O98.7, R75, Z11.4, Z20.6, Z21, Z21, Z71.7, Z83.0"
492_2,Простой герпес (ПГ) у взрослых,10/27/2025,"B00.1, B00.2, B00.3, B00.4, B00.7, B00.8, B00.9, B34.9, K12.1"
567_2,Клещевой вирусный энцефалит у взрослых,10/23/2025,"A84, A84.0, A84.1, A84.8, A84.9"
958_1,Хроническая ишемия нижних конечностей с клиникой перемежающейся хромоты (ПХ),10/22/2025,"E10.5, I70.2, I72.4, I73.1, I73.9, I77.1, I77.3, I77.6"
749_2,Грипп у взрослых,10/20/2025,"J09, J10, J11"
723_2,Венозные осложнения во время беременности и послеродовом периоде. Акушерская тромбоэмболия,10/20/2025,"O22.0, O22.1, O22.2, O22.3, O22.4, O22.5, O22.8, O22.9, O87.1, O87.2, O87.3, O87.8, O87.9, O88.2, O88.8"
146_2,"Психические и поведенческие расстройства, вызванные употреблением алкоголя. Амнестический синдром, вызванный употреблением алкоголя.",10/16/2025,F10.6
957_1,Ретинальные венозные окклюзии,10/15/2025,"H34.8, H34.9, H35.6"
64_2,Острый аппендицит и перитонит у детей,10/15/2025,"K35, K36, K37, K38.1, K38.8, K65, K66.8"
738_2,Аденоматозный полипозный синдром,10/15/2025,D12
956_1,Абсцесс. Фурункул носа. Карбункул носа.,10/14/2025,J34.0
955_1,Хронический синусит,10/14/2025,"J32.0, J32.1, J32.2, J32.3, J32.4, J32.8, J32.9, J34.1"
954_1,Наследственный сфероцитоз,10/13/2025,"D58.0, D58.8, D58.9"
953_1,Сепсис,10/10/2025,"A39.2, A39.3, A39.4, A40.0, A40.1, A40.2, A40.3, A40.8, A40.9, A41, A42.7, A49.9, B00.7, B37.7, O85, R57.2"
952_1,Функциональная диспепсия у детей,10/9/2025,K30
951_1,Транзиторное тахипноэ новорожденного,10/8/2025,P22.1
950_1,Гастроэзофагеальная рефлюксная болезнь новорожденных,10/8/2025,P78.8
949_1,Полип толстой и прямой кишки,10/7/2025,"D12.0, D12.1, D12.2, D12.3, D12.4, D12.5, D12.6, D12.7, D12.8, D37.4, K62.1, K63.5"
569_2,Желудочковые нарушения ритма сердца. Внезапная сердечная смерть.,10/7/2025,"I46, I46.0, I46.1, I46.9, I47.0, I47.0, I47.2, I47.9, I49.0, I49.3, I49.4, I49.8, I49.9"
402_2,Гастроэзофагеальная рефлюксная болезнь у детей,9/30/2025,"K21, K21.0, K21.9"
479_2,Неспецифический аортоартериит,9/29/2025,M31.4
948_1,Внутрижелудочковое нетравматическое кровоизлияние у плода и новорожденного,9/29/2025,"P52.0, P52.1, P52.2, P52.3, P52.4"
382_2,Фибрилляция и трепетание предсердий,9/26/2025,"I48.0, I48.1, I48.2, I48.3, I48.4, I48.9"
946_1,Расслоение аорты,9/23/2025,"I71.0, I72.1"
665_2,Синдром гиперстимуляции яичников,9/23/2025,N98.1
947_1,Гиперплазия эндометрия,9/23/2025,"N85.0, N85.1"
568_2,Предсердно-желудочковая блокада,9/22/2025,"I44.0, I44.1, I44.2, I44.3"
117_3,Менопауза и климактерическое состояние у женщины,9/22/2025,"N95.1, N95.2, N95.3, N95.8, N95.9"
215_3,Себорейный дерматит,9/22/2025,L21
224_2,Разноцветный лишай,9/19/2025,B36.0
392_3,Мукополисахаридоз тип II,9/19/2025,E76.1
945_1,Митральный стеноз,9/18/2025,"I05.0, I05.2, I08.0, I08.1, I08.3, I09.8, I34.2, Q23.2, Q23.8, Q23.9, T82.0"
200_3,Эритразма,9/17/2025,L08.1
719_2,Инфекция мочевых путей при беременности,9/16/2025,"O23, O23.0, O23.1, O23.2, O23.3, O23.4, O23.9, O86.2, O86.3"
944_1,Кандидоз новорождённых,9/16/2025,P37.5
713_2,Хроническая болезнь почек,9/15/2025,"N18.1, N18.2, N18.3, N18.4, N18.5, N18.9, N39.1, Q60.0, Q60.3, Q61.4, Q63.0, Q63.1"
220_2,Контагиозный моллюск,9/15/2025,B08.1
943_1,Респираторно-синцитиальная вирусная инфекция у детей,9/12/2025,"B97.4, J00, J02.8, J04.1, J04.2, J06.0, J20.5, J21.0"
942_1,Реактивный артрит,9/11/2025,"M02.8, M02.9"
941_1,Вросший ноготь (онихокриптоз),9/11/2025,L60.0
720_2,Эмболия амниотической жидкостью,9/10/2025,"O75.1, O88.1, O88.8"
940_1,"Диагностика, лечение и профилактика венозных тромбоэмболических осложнений в травматологии и ортопедии",9/10/2025,"I80.1, I80.2, I80.3"
714_2,Пневмония (внебольничная),9/8/2025,"J12, J13, J14, J15, J16, J18"
939_1,Лёгочная гипертензия у детей,9/8/2025,"I27.0, I27.2, I27.8, I27.9"
570_2,Синдром слабости синусового узла,9/3/2025,I49.5
938_1,Травма селезенки у детей,9/2/2025,S36.0
746_2,Перикардиты,9/1/2025,"I30, I30.0, I30.1, I30.8, I30.9, I31, I31.0, I31.1, I31.2, I31.3, I31.8, I31.9, I32, I32.0, I32.1, I32.8, I97.0"
935_1,Кефалгематома при родовой травме,9/1/2025,P12.0
119_3,Послеродовое кровотечение,8/28/2025,"O67, O72"
936_1,Идиопатическая подагра,8/19/2025,M10.0
347_2,Геморрагическая лихорадка с почечным синдромом,8/18/2025,A98.5
715_2,Цирроз и фиброз печени,8/15/2025,"K72, K74.0, K74.1, K74.2, K74.4, K74.5, K74.6, K76.7"
205_2,Вирусные бородавки,8/14/2025,B07
934_1,"Трансплантация почки, наличие трансплантированной почки, отмирание и отторжение трансплантата почки",8/7/2025,"T86.1, Z94.0"
933_1,Апноэ недоношенных новорождённых,8/5/2025,"P28.3, P28.4"
724_2,Острые респираторные вирусные инфекции (ОРВИ) у взрослых,8/4/2025,"B34.0, B34.2, B34.9, B97.0, B97.4, J00, J01, J02, J03, J04, J05, J06, J20, J21, J22"
932_1,Описторхоз у взрослых и детей,7/31/2025,B66.0
718_2,Острый гепатит A (ГА) у взрослых,7/29/2025,B15
931_1,Кисты челюстно-лицевой области и шеи,7/28/2025,"K04.8, K09, K11.6, L72.0, Q18.0, Q18.1, Q18.2, Q18.8"
249_2,Грипп,7/25/2025,"J09, J10, J11"
930_1,Эритемы,7/23/2025,"L53.1, L53.2, L53.3, L53.8, L53.9, L59.0"
929_1,Хламидийная лимфогранулёма (венерическая),7/23/2025,A55
49_3,Врожденный клапанный стеноз аорты,7/22/2025,"Q23.0, Q23.1"
730_2,Дефект аортолегочной перегородки,7/21/2025,"I27.8, Q21.4"
737_2,Общий артериальный ствол,7/18/2025,"I27.8, Q20.0"
82_3,Врожденная дисфункция коры надпочечников (адреногенитальный синдром),7/17/2025,"E25.0, E25.8, E25.9"
675_2,Биполярное аффективное расстройство,7/17/2025,F31
532_5,Саркомы костей,7/16/2025,"C40, C41, D48.0"
928_1,Баланопостит,7/16/2025,"N48.1, N51.2"
745_2,Врожденный подклапанный стеноз аорты,7/15/2025,Q24.4
744_2,Врожденная митральная недостаточность (ВМН),7/15/2025,"I05.1, I08.0, I34.0, I34.1, I34.8, Q23.3"
731_2,Врожденный стеноз клапана легочной артерии,7/15/2025,Q22.1
927_1,Перикардиты и заболевания перикарда у детей,7/15/2025,"I30, I31, I32"
408_2,Миокардиты у детей,7/14/2025,"I01.2, I09.0, I40, I41, I51.4"
396_4,Рак ободочной кишки и ректосигмоидного перехода,7/11/2025,"C18, C19, D01.0"
926_1,"ТОКСИЧЕСКОЕ ДЕЙСТВИЕ ДРУГИХ ЯДОВИТЫХ ВЕЩЕСТВ, СОДЕРЖАЩИХСЯ В СЪЕДЕННЫХ, ГРИБАХ (НЕ ВКЛЮЧЕНЫ ГРИБЫ ПСИХОДИСЛЕПТИКИ [ГАЛЛЮЦИНОГЕНЫ])",7/10/2025,T62.0
1_4,Рак печени (гепатоцеллюлярный),7/9/2025,"C22.0, D37.6"
44_3,Единственный желудочек сердца,7/8/2025,Q20.4
925_1,Вирусные кишечные инфекции (гастроэнтериты) у детей,7/8/2025,"A08.2, A08.3, A08.4, A08.5, A09"
924_1,"Здоровый новорожденный, рожденный в условиях стационара",7/8/2025,"Z00.1, Z37.0, Z37.2, Z37.5, Z38.0, Z38.3, Z38.6"
923_1,Хронический гепатит В (ХГВ) у детей,7/7/2025,B18.1
120_2,Ph-негативные миелопролиферативные новообразования,7/4/2025,"D45, D47.1, D47.3, D47.4, D75.1"
739_2,Рассеянный склероз,7/3/2025,"G35, G36.9, G37.9"
922_1,Косоглазие содружественное,7/3/2025,"H50.0, H50.1"
921_1,Меланома кожи и слизистых оболочек,7/2/2025,"C00-C14, C15, C16, C17, C18, C19, C20, C21, C22, C23, C24, C25, C26, C30, C31, C32, C43, C51, C52, C53, C60.9, C63.2, C69.0, C77, C78, C79, D03"
554_4,Рак прямой кишки,6/30/2025,"C20, D01.2, D37.5"
920_1,Мозоли и омозолелости,6/25/2025,L84
401_2,Хроническая сердечная недостаточность у детей,6/25/2025,"I42.0, I42.8, I42.9, I50.0, I50.1, I50.9, P29.0, Q24.8"
395_3,Мукополисахаридоз тип VI,6/25/2025,E76.2
627_3,Гипопаратиреоз у взрослых,6/23/2025,"E20.0, E20.8, E20.9, E89.2"
270_2,"Тиреотоксикоз с диффузным зобом (болезнь Грейвса), узловым/многоузловым зобом",6/20/2025,"E05.0, E05.1, E05.2, E05.3, E05.4, E05.5, E05.8"
160_2,Брадиаритмии и нарушения проводимости,6/18/2025,"I44, I44.0, I44.1, I44.2, I44.3, I44.4, I44.5, I44.6, I44.7, I45.0, I45.1, I45.2, I45.3, I45.4, I45.5, I45.8, I45.9, I46, I46.0, I46.1, I46.9, I49.5"
619_3,Наджелудочковые тахикардии,6/17/2025,"I47.1, I47.9"
53_2,Аневризмы брюшной аорты,6/11/2025,"I71.3, I71.4"
919_1,Аневризмы грудной и торакоабдоминальной аорты,6/11/2025,"I71.1, I71.2, I71.5, I71.6, I71.8, I71.9"
918_1,Вульварные интраэпителиальные неоплазии,6/5/2025,"N84.3, N90.0, N90.1, N90.2, N90.3, N90.4, N90.6, N90.7, N90.8"
917_1,Гипербилирубинемия недоношенных,6/4/2025,P59.0
916_1,Неонатальная желтуха,6/4/2025,"P58.0, P58.1, P58.3, P58.5, P58.8, P58.9, P59.8, P59.9"
71_3,Ретинобластома,6/4/2025,C69.2
287_3,Сахарный диабет 1 типа у детей,5/30/2025,"E10.1, E10.2, E10.3, E10.4, E10.5, E10.6, E10.7, E10.8, E10.9"
914_1,Врожденная дисфункция коры надпочечников(Адреногенитальный синдром),5/30/2025,"E25, E25.0, E25.8, E25.9"
915_1,Острый промиелоцитарный лейкоз,5/29/2025,C92.4
585_2,Первичные опухоли центральной нервной системы,5/29/2025,"C70.0, C70.1, C70.9, C71.0, C71.1, C71.2, C71.3, C71.4, C71.5, C71.6, C71.7, C71.8, C71.9, C72.0, C72.1, C72.2, C72.3, C72.4, C72.5, C72.8, C72.9, D18.0, D18.1, D32.0, D32.1, D32.9, D33, D42.0, D42.1, D42.9, D43.0, D43.1, D43.2, D43.3, D43.4, D43.7, D43.9, D48.2"
380_3,Мукополисахаридоз тип I,5/28/2025,E76.0
108_2,Врожденная катаракта,5/28/2025,"H27.0, Q12.0"
555_3,"Плоскоклеточный рак анального канала, анального края, перианальной кожи",5/27/2025,"C21, C44.5"
100_2,Увеальная меланома,5/26/2025,"C69.3, C69.4, C69.8"
497_2,"Мезотелиома плевры, брюшины и других локализаций",5/26/2025,"C38.4, C45, D20.1, D38.2, D48.4"
515_3,Саркомы мягких тканей,5/23/2025,"C49, D48.1, D48.2"
740_3,Аниридия врожденная,5/22/2025,Q13.1
153_2,Миокардиты,5/22/2025,"I40, I40.0, I40.1, I40.8, I40.9, I41, I41.0, I41.1, I41.2, I41.8, I51.4"
341_2,Рак коры надпочечника (Адренокортикальный рак),5/21/2025,"C74.0, C74.9, D44.1"
132_2,Острый промиелоцитарный лейкоз,5/21/2025,C92.4
